iter	Passed	Remaining
0	1	594
1	3	543
2	5	512
3	7	521
4	8	508
5	10	497
6	11	492
7	13	485
8	14	481
9	16	478
10	18	474
11	19	469
12	21	475
13	23	472
14	24	467
15	26	464
16	27	461
17	29	458
18	30	456
19	32	453
20	33	448
21	35	444
22	36	444
23	38	438
24	39	432
25	40	426
26	41	418
27	42	412
28	43	406
29	44	400
30	45	394
31	46	388
32	47	382
33	48	376
34	49	371
35	49	366
36	50	361
37	51	356
38	52	351
39	53	345
40	53	340
41	54	335
42	55	331
43	56	326
44	56	322
45	57	318
46	58	314
47	59	309
48	59	305
49	60	301
50	60	297
51	61	294
52	62	290
53	63	287
54	63	283
55	64	280
56	65	278
57	66	275
58	66	272
59	67	269
60	67	266
61	68	263
62	69	260
63	69	257
64	70	255
65	71	252
66	71	250
67	72	248
68	73	245
69	74	243
70	74	240
71	75	238
72	76	236
73	76	234
74	77	232
75	78	230
76	79	228
77	80	228
78	81	226
79	82	226
80	83	224
81	83	222
82	84	220
83	85	218
84	85	217
85	86	215
86	87	213
87	87	211
88	88	209
89	88	207
90	89	205
91	90	203
92	90	202
93	91	201
94	92	199
95	93	197
96	93	196
97	94	194
98	94	192
99	95	191
100	96	189
101	96	187
102	97	186
103	98	184
104	98	183
105	99	181
106	99	180
107	100	178
108	101	177
109	101	175
110	102	174
111	102	172
112	103	171
113	104	169
114	104	168
115	105	167
116	106	165
117	106	164
118	107	163
119	107	161
120	108	160
121	109	159
122	109	157
123	110	156
124	110	155
125	111	154
126	112	152
127	112	151
128	113	150
129	114	149
130	114	147
131	115	146
132	115	145
133	116	144
134	117	143
135	117	141
136	118	140
137	118	139
138	119	138
139	120	137
140	120	136
141	121	135
142	122	134
143	122	133
144	123	131
145	123	130
146	124	129
147	125	128
148	125	127
149	126	126
150	127	125
151	127	124
152	128	123
153	128	122
154	129	121
155	130	120
156	130	118
157	131	117
158	131	116
159	132	115
160	133	114
161	133	114
162	134	113
163	135	112
164	135	111
165	136	110
166	136	109
167	137	108
168	138	107
169	138	106
170	139	105
171	139	104
172	140	103
173	141	102
174	141	101
175	142	100
176	142	99
177	143	98
178	144	97
179	144	96
180	145	95
181	145	94
182	146	93
183	146	92
184	147	91
185	148	91
186	149	90
187	149	89
188	150	88
189	150	87
190	151	86
191	152	85
192	152	84
193	153	83
194	153	82
195	154	82
196	155	81
197	155	80
198	156	79
199	156	78
200	157	77
201	158	76
202	158	75
203	159	74
204	159	74
205	160	73
206	161	72
207	161	71
208	162	70
209	163	69
210	163	69
211	164	68
212	164	67
213	165	66
214	166	65
215	166	64
216	167	63
217	167	63
218	168	62
219	168	61
220	169	60
221	170	59
222	170	58
223	171	58
224	171	57
225	172	56
226	173	55
227	173	54
228	174	54
229	174	53
230	175	52
231	176	51
232	176	50
233	177	50
234	178	49
235	178	48
236	179	47
237	179	46
238	180	46
239	181	45
240	181	44
241	182	43
242	182	42
243	183	42
244	183	41
245	184	40
246	185	39
247	185	38
248	186	38
249	186	37
250	187	36
251	187	35
252	188	35
253	189	34
254	190	33
255	190	32
256	191	31
257	191	31
258	192	30
259	192	29
260	193	28
261	194	28
262	194	27
263	195	26
264	195	25
265	196	25
266	197	24
267	197	23
268	198	22
269	198	22
270	199	21
271	199	20
272	200	19
273	201	19
274	201	18
275	202	17
276	202	16
277	203	16
278	204	15
279	205	14
280	205	13
281	206	13
282	206	12
283	207	11
284	208	10
285	208	10
286	209	9
287	209	8
288	210	8
289	210	7
290	211	6
291	212	5
292	212	5
293	213	4
294	213	3
295	214	2
296	215	2
297	215	1
298	216	0
299	216	0
